,Saler,Production Year,Milage,Transmition,Quantity of doors,Color,Invoice,Country of origin,Accident-free,Serviced in aso,First registration,Polish registration,First owner,Alloy wheels,Description,price,location
110,Osoby prywatnej,2007.0,148 000 km,Manualna,5,Srebrny,1.0,NaN,1.0,0.0,NaN,0.0,0.0,0.0,0.0,10900,12
111,Firmy,2013.0,98 000 km,Manualna,5,Czerwony,1.0,Niemcy,0.0,0.0,21/05/2014,0.0,1.0,0.0,0.0,20900,2
112,Firmy,2006.0,178 000 km,Manualna,5,Czerwony,0.0,NaN,1.0,0.0,NaN,0.0,0.0,0.0,0.0,7700,11
113,Firmy,2008.0,171 000 km,Manualna,5,Czerwony,1.0,Niemcy,1.0,0.0,30/01/0009,0.0,0.0,0.0,0.0,10900,16
114,Osoby prywatnej,2010.0,139 000 km,Manualna,3,Szary,1.0,Niemcy,1.0,1.0,23/02/2010,0.0,0.0,0.0,0.0,11999,16
115,Osoby prywatnej,2009.0,166 000 km,Manualna,3,Niebieski,1.0,Niemcy,1.0,0.0,02/07/2009,0.0,0.0,0.0,0.0,11400,6
116,Osoby prywatnej,2011.0,105 500 km,Manualna,5,Szary,1.0,NaN,0.0,0.0,30/12/2011,0.0,0.0,0.0,0.0,12600,4
117,Firmy,2006.0,86 000 km,Manualna,5,Inny kolor,1.0,NaN,1.0,1.0,NaN,0.0,1.0,0.0,0.0,8800,1
118,Osoby prywatnej,2005.0,121 400 km,Manualna,3,Inny kolor,0.0,NaN,0.0,0.0,03/11/2005,1.0,0.0,1.0,0.0,8500,5
119,Firmy,2011.0,169 000 km,Manualna,5,Inny kolor,1.0,Belgia,1.0,1.0,29/06/2011,0.0,1.0,1.0,0.0,14900,9
120,Osoby prywatnej,2006.0,123 421 km,Manualna,5,Inny kolor,1.0,NaN,1.0,1.0,NaN,0.0,0.0,0.0,0.0,8900,1
121,Osoby prywatnej,2008.0,183 083 km,Manualna,5,Szary,1.0,Niemcy,1.0,1.0,03/02/2009,0.0,0.0,0.0,0.0,11900,13
122,Firmy,2008.0,168 000 km,Manualna,5,Niebieski,1.0,Niemcy,0.0,0.0,NaN,0.0,0.0,1.0,0.0,9900,4
123,Osoby prywatnej,2008.0,96 000 km,Manualna,3,Niebieski,0.0,Niemcy,1.0,1.0,NaN,0.0,0.0,0.0,0.0,11200,12
124,Firmy,2008.0,146 000 km,Manualna,5,Czarny,1.0,Niemcy,1.0,1.0,NaN,0.0,1.0,0.0,0.0,14900,7
125,Firmy,2009.0,164 340 km,Manualna,5,Czarny,1.0,NaN,1.0,1.0,NaN,0.0,1.0,0.0,0.0,13900,2
126,Firmy,2012.0,148 000 km,Manualna,3,Biały,1.0,NaN,1.0,0.0,NaN,1.0,1.0,1.0,0.0,10900,3
127,Firmy,2014.0,126 900 km,Manualna,5,Brązowy,1.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,16900,13
128,Firmy,2009.0,108 298 km,Manualna,5,Szary,0.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,16600,12
129,Osoby prywatnej,2008.0,164 500 km,Manualna,5,Szary,0.0,NaN,1.0,1.0,NaN,1.0,0.0,0.0,0.0,13900,6
130,Osoby prywatnej,2009.0,125 000 km,Manualna,3,Czerwony,0.0,NaN,0.0,0.0,26/11/2009,0.0,0.0,0.0,0.0,9700,10
131,Firmy,2009.0,127 300 km,Manualna,5,Niebieski,1.0,Niemcy,1.0,1.0,04/10/2009,0.0,0.0,0.0,0.0,11999,7
132,Firmy,2012.0,158 060 km,Manualna,5,Srebrny,1.0,Austria,0.0,0.0,30/08/2012,0.0,0.0,0.0,0.0,15900,12
133,Osoby prywatnej,2007.0,139 310 km,Manualna,3,Beżowy,1.0,Niemcy,0.0,0.0,26/02/2007,0.0,0.0,1.0,0.0,10900,6
134,Firmy,2008.0,193 000 km,Manualna,5,Czarny,1.0,Niemcy,0.0,0.0,NaN,0.0,0.0,0.0,0.0,12500,6
135,Firmy,2012.0,112 000 km,Manualna,5,Biały,1.0,Niemcy,0.0,1.0,18/04/2012,1.0,0.0,0.0,0.0,17900,14
136,Osoby prywatnej,2007.0,159 917 km,Manualna,5,Czarny,0.0,Niemcy,1.0,1.0,21/08/2007,0.0,0.0,0.0,0.0,10700,11
137,Firmy,2010.0,109 000 km,Manualna,5,Niebieski,0.0,Niemcy,1.0,0.0,15/02/2010,0.0,0.0,1.0,0.0,17900,4
138,Firmy,2007.0,131 288 km,Manualna,3,Niebieski,1.0,Niemcy,1.0,1.0,NaN,0.0,0.0,0.0,0.0,9900,2
139,Osoby prywatnej,2008.0,112 000 km,Manualna,5,Szary,1.0,Niemcy,1.0,1.0,NaN,0.0,0.0,0.0,0.0,13900,12
140,Osoby prywatnej,2011.0,136 000 km,Manualna,5,Szary,1.0,Niemcy,0.0,0.0,30/08/2011,1.0,0.0,0.0,0.0,14200,1
141,Osoby prywatnej,2014.0,149 000 km,Manualna,5,Szary,1.0,NaN,0.0,0.0,NaN,0.0,1.0,0.0,0.0,16500,13
142,Firmy,2008.0,164 000 km,Manualna,5,Czerwony,1.0,Niemcy,0.0,1.0,NaN,0.0,0.0,0.0,0.0,12600,5
143,Firmy,2008.0,158 600 km,Manualna,5,Niebieski,1.0,NaN,1.0,1.0,NaN,0.0,0.0,1.0,0.0,10500,13
144,Osoby prywatnej,2013.0,128 666 km,Manualna,5,Czarny,0.0,NaN,0.0,0.0,25/06/2013,1.0,0.0,0.0,0.0,18900,7
145,Osoby prywatnej,2006.0,104 834 km,Manualna,5,Niebieski,0.0,Niemcy,1.0,1.0,NaN,0.0,0.0,1.0,0.0,9900,7
146,Osoby prywatnej,2007.0,118 000 km,Manualna,5,Czerwony,1.0,Niemcy,1.0,1.0,11/06/2007,0.0,0.0,0.0,0.0,10900,5
147,Osoby prywatnej,2005.0,128 011 km,Manualna,5,Niebieski,0.0,Niemcy,0.0,0.0,23/06/2005,0.0,0.0,1.0,0.0,8000,3
148,Firmy,2009.0,112 000 km,Manualna,3,Inny kolor,1.0,Niemcy,1.0,0.0,12/08/2009,0.0,1.0,0.0,0.0,11900,7
149,Firmy,2009.0,65 000 km,Manualna,5,Inny kolor,1.0,Niemcy,1.0,1.0,NaN,0.0,1.0,0.0,0.0,12900,7
150,Osoby prywatnej,2007.0,156 000 km,Manualna,5,Niebieski,1.0,NaN,1.0,1.0,NaN,0.0,0.0,0.0,0.0,11700,7
151,Firmy,2005.0,260 000 km,Manualna,3,Srebrny,1.0,NaN,0.0,0.0,NaN,0.0,0.0,0.0,0.0,4950,6
152,Osoby prywatnej,2009.0,149 000 km,Manualna,5,Srebrny,0.0,NaN,1.0,0.0,NaN,0.0,0.0,0.0,0.0,13800,2
153,Osoby prywatnej,2008.0,162 500 km,Manualna,3,Srebrny,0.0,NaN,0.0,0.0,10/09/2009,0.0,0.0,0.0,0.0,6300,1
154,Osoby prywatnej,2008.0,145 234 km,Manualna,5,Czerwony,0.0,Niemcy,0.0,0.0,NaN,0.0,0.0,0.0,0.0,12900,14
